;ImageLink;Title;Console;Price;AnnÈe_de_sortie;Genre
0;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dw9b8a7b0e/images/high-res/84549.jpg?sw=120&sh=120&sm=fit;Sea Of Thieves;XBOX ONE;19.99Ä;2018;Action
1;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dwb57f5dd7/images/high-res/88005.jpg?sw=120&sh=120&sm=fit;Forza Horizon 4;XBOX ONE;39.99Ä;2018;Course / arcade
2;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dwab261cec/images/high-res/98950.jpg?sw=120&sh=120&sm=fit;Gears 5;XBOX ONE;14.99Ä;2019;Wargame
3;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dwfcca97dc/images/high-res/103742.jpg?sw=120&sh=120&sm=fit;Ori And The Will Of The Wisps;XBOX ONE;14.99Ä;2020;Action / aventure
4;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dwf624e273/images/high-res/106183.jpg?sw=120&sh=120&sm=fit;Minecraft Dungeons Hero Edition;XBOX ONE;29.99Ä;2020;Activit√©s r√©cr√©atives
5;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dw98e28dda/images/high-res/107970.jpg?sw=120&sh=120&sm=fit;Minecraft Starter Collection;XBOX ONE;29.99Ä;2020;Activit√©s r√©cr√©atives
6;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dwa9867e4f/images/high-res/98893.jpg?sw=120&sh=120&sm=fit;Cyberpunk 2077 Edition D1;PS4;34.99Ä;2020;Jeu de r√¥le
7;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dwa600eece/images/high-res/98895.jpg?sw=120&sh=120&sm=fit;Cyberpunk 2077 Edition D1 - Versions Xbox Series et;XBOX ONE;34.99Ä;2020;Jeu de r√¥le
8;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dw9ccde6e8/images/high-res/106991.jpg?sw=120&sh=120&sm=fit;Super Mario 3d World+bowser's Fury;SWITCH;59.99Ä;2021;Action / aventure
9;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dw93d8b4b4/images/high-res/101767.jpg?sw=120&sh=120&sm=fit;Ring Fit Adventure;SWITCH;79.99Ä;2019;Sport
10;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dw1fcd66ee/images/high-res/109438.jpg?sw=120&sh=120&sm=fit;Sea Of Solitude : The DirectorÄôs Cut;SWITCH;29.99Ä;2021;Aventure
11;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dwef13b5ad/images/high-res/109667.jpg?sw=120&sh=120&sm=fit;Harvest Moon Un Monde √† Cultiver;SWITCH;54.99Ä;2021;Gestion
12;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dw93532b16/images/high-res/110682.jpg?sw=120&sh=120&sm=fit;Two Point Hospital Jumbo Edition;SWITCH;39.99Ä;2021;Gestion
13;https://www.micromania.fr/dw/image/v2/BCRB_PRD/on/demandware.static/-/Sites-masterCatalog_Micromania/default/dwa50ecd30/images/high-res/109467.jpg?sw=120&sh=120&sm=fit;Neptunia Virtual Stars Dayone Edition;PS4;59.99Ä;2021;Jeu de r√¥le
